;14.00_-5.00_15.00_NH3+_C:;17.00_2.00_18.00_NH3+_C:;20.00_-2.00_18.00_NH3+_C:;22.00_1.00_18.00_NH3+_C:;22.00_2.00_19.00_NH3+_C:;30.00_3.00_21.00_NH3+_C:;15.00_3.00_14.00_NH3+_LJ:;22.00_2.00_17.00_NH3+_LJ:;25.00_9.00_25.00_NH3+_LJ:;26.00_6.00_20.00_NH3+_LJ:;27.00_2.00_20.00_NH3+_LJ:
DFT_K001__PAC_aligned;8.803788649242703;27.971081149271377;70.37765935371067;97.10097390328636;101.80795810789596;3.2740016001547154;5.459501037276046;-1.1952362972124757;-0.0847517553649216;-1.8630259693635731;52.73126786354593
DFT_K002__PAC_aligned;-9.43314559159546;19.285670325333747;107.3862923858639;98.42158495183584;114.686430620376;7.475358185316328;-0.8091054380066816;-3.521812305660857;-0.0731205495674687;-1.556386475455883;41.521980353116525
DFT_K003__PAC_aligned;-6.304406648768271;-81.4120769675697;75.80312039829535;83.47752098202142;96.97483657538947;6.5618400023948364;-0.7648656804363917;-2.8086705233088813;-0.0738378390157606;-1.4421070816003747;26.635199182899782
DFT_K004__PAC_aligned;1.0602970849332944;-28.242838222768484;32.85756116895386;69.8045569802036;87.177744205439;1.233507564014939;-0.4158625608993008;-0.931106171610256;-0.068055736607674;-1.4260733507191847;23.64674797331639
DFT_K005__PAC_aligned;1.9231470701319027;-10.405679232821626;-18.466515635688502;63.27844190816362;75.2587315002833;0.8009946038672009;-0.2383063267544803;-2.5315103795508387;-0.0664740620022098;-1.167074167050242;13.257325612604326
DFT_K006__PAC_aligned;-19.349803137866683;3.084330497295697;43.222058345771714;69.03372000992431;78.2780241444838;4.359463048508836;3.1464956776746096;-3.628172094859966;-0.0737891976343277;-1.4946862699026204;50.31050716521114
DFT_K007__PAC_aligned;-5.980267094677247;-6.206287923051189;-29.15160305502709;41.22118725215861;30.08193820512694;7.723282330760668;-0.1855135807204485;1.6130023678650796;2.4750036748413176;-2.489300113327711;-1.6046745641842073
DFT_K008__PAC_aligned;-9.551001652636604;3.6329382580429233;27.57907477015794;108.30452604001462;105.26068930724108;6.446569280500633;-0.2916774544127372;29.04315663986217;-0.0736583433187821;-1.3406613307112658;20.31898727475387
DFT_K009__PAC_aligned;4.4049175843861255;7.797805241553196;5.957075107269588;61.88575285215423;60.26079783847079;0.6908077698316419;-0.3784660676980228;-1.9465956828638424;-0.0618887115544961;-1.2899038033701062;18.05313420460782
DFT_K010__PAC_aligned;6.384661742561288;-4.463804434507125;9.149989512679694;87.3697682355073;116.29584745332764;0.3257856644711916;-0.31984435117037924;60.01578717992498;-0.0718381475726551;-1.5683594180317062;19.65718140900909
DFT_K011__PAC_aligned;-16.015009176341678;20.82167055194587;85.5667313806606;100.3875409269292;128.45135372411923;8.637741815514369;-0.5583656473926518;-0.2065343260120612;-0.0722292440378623;-1.5008449881247092;22.423699837710707
DFT_K012__PAC_aligned;-13.109219636526166;2.5580940881408534;5.665932019563857;73.63228626517349;82.9845927789519;4.202999504605791;-0.3006441845799383;29.59404487756725;-0.07740733912040032;-1.747527693787063;40.5286265578137
